Gene,Half-life (h)
B1368,0.151666667
B1369,0.138333333
trs5_5,0.351666667
B1371,0.146666667
B1372,0.13
ynaC,0.113333333
B1374,0.133333333
ynaE,0.103333333
ynaF,0.086666667
B1377,0.128333333
ydbK,0.061666667
hslJ,0.083333333
ldhA,0.091666667
ydbH,0.096666667
ynbE,0.103333333
ydbL,0.108333333
feaR,0.106666667
feaB,0.085
tynA,0.146666667
maoC,0.148333333
ydbO,0.121666667
ynbF,0.145
ydbP,0.19
B1391,0.106666667
B1392,0.148333333
ydbS,0.1
B1396,0.105
B1397,0.065
B1398,0.101666667
B1399,0.108333333
B1400,0.091666667
ydbA_1,0.095
yi22_2,0.036666667
yi21_2,0.053333333
tra8_2,0.11
ydbA_2,0.08
ydbC,0.106666667
ydbD,0.128333333
B1408,0.096666667
B1409,0.078333333
B1410,0.201666667
ynbD,0.195
acpD,0.091666667
hrpA,0.126666667
ydcF,0.066666667
aldA,0.095
gapC_2,0.048333333
gapC_1,0
cybB,0.133333333
ydcA,0.121666667
B1420,0.158333333
trg,0.145
B1422,0.046666667
B1425,0
ydcH,0.11
rimL,0.073333333
B1428,0.083333333
tehA,0.066666667
tehB,0.121666667
B1431,0.071666667
B1433,0.12
ydcN,0.143333333
ydcP,0.11
B1436,0.148333333
B1437,0.08
B1438,0.08
B1439,0
B1440,0.095
B1441,0.085
B1442,0.108333333
B1443,0.12
B1444,0
B1445,0.176666667
B1446,0.073333333
B1447,0.076666667
B1448,0.061666667
yncB,0.063333333
B1450,0.075
B1452,0.12
ansP,0.073333333
B1454,0.041666667
B1455,0.078333333
rhsE,0.121666667
ydcD,0.093333333
B1458,0.113333333
ydcC,0.153333333
ydcE,0.073333333
B1462,0.076666667
B1463,0.178333333
yddE,0.066666667
narV,0.103333333
narW,0.125
narY,0.115
narZ,0.096666667
narU,0.098333333
B1470,0.093333333
B1471,0.13
yddG,0.086666667
fdnG,0.116666667
fdnH,0.14
fdnI,0.103333333
yddM,0.073333333
adhP,0.523333333
sfcA,0.046666667
rpsV,0
osmC,0.125
B1483,0.191666667
B1484,0.076666667
B1485,0.111666667
B1486,0.083333333
B1487,0.148333333
B1488,0.086666667
B1489,0.035
B1490,0.05
B1491,0.075
xasA,0.141666667
gadB,0.193333333
pqqL,0.115
yddB,0.075
