Gene,Half-life (h)
AASDHPPT;CGI-80;HAH-P;HSPC223;x0005,20.8
IDI1,20.8
FASTKD3,20.9
GBF1;KIAA0248,20.9
PDE3A,20.9
BYSL,20.9
H1FX,20.9
WRNIP1;WHIP,20.9
PAK1,20.9
UBXD2;KIAA0242;UBXDC1,20.9
UBE2G1;UBE2G,20.9
PAK4;KIAA1142,20.9
PBXIP1;HPIP,20.9
LARP1;KIAA0731;LARP,20.9
FEZ2,20.9
TOX4;C14orf92;KIAA0737;TOX3;CAGF9;TNRC9;TOX;KIAA0808;TOX2;C20orf100;GCX1,20.9
ZMAT2,21
SNW1;SKIIP;SKIP,21
DKFZp781H1753;STAG2;SA2,21
MCM7;CDC47;MCM2;hCG_2023614;tcag7.648,21
CANT1;SHAPY,21
RBM22;ZC3H16;199G4,21
CD97,21
GOLGA1,21.1
PRPF8;PRPC8,21.1
GALNT1,21.1
C12orf11,21.1
RCOR1;KIAA0071;RCOR,21.1
BTF3;NACB;OK/SW-cl.8,21.1
RECQL4;RECQ4,21.1
CORO7;TIMM16;MAGMAS;TIM16;CGI-136,21.1
MED15;ARC105;CTG7A;PCQAP;TIG1;TNRC7,21.1
LIN7C;MALS3;VELI3;LIN7A;MALS1;VELI1,21.1
PUM1;KIAA0099;PUMH1,21.1
NUMB,21.2
NDUFS3,21.2
NT5DC2,21.2
ZC3H7B;KIAA1031,21.2
WDR62;C19orf14;DKFZp434J046,21.2
INADL;PATJ,21.2
TXLNG;CXorf15;LSR5,21.2
MTMR1,21.2
CLINT1;ENTH;EPN4;EPNR;KIAA0171,21.2
PIGO;UNQ632/PRO1249,21.3
TAF9;TAF2G;TAFII31;TAF9B;TAF9L,21.3
TPD52L1;RP1-167O5.1-003;RP1-167O5.1-002,21.3
GOLPH3;GPP34,21.3
PTP4A2;PRL2;PTPCAAX2;BM-008,21.3
MVP;LRP,21.3
NDUFV1;UQOR1,21.3
STAG1 variant protein;STAG1;SA1,21.3
GNG5;GNGT5,21.3
TIMM13;TIM13B;TIMM13A;TIMM13B,21.3
DDX3X;DBX;DDX3;DDX3Y;DBY,21.3
TMEM214;PP446,21.3
EIF4G1;EIF4F;EIF4G;EIF4GI,21.3
C9orf78;HCA59,21.4
NCAPD3;CAPD3;KIAA0056,21.4
GTF2I;BAP135;WBSCR6,21.4
GGCX;GC,21.4
MTMR2;KIAA1073;hCG_21453,21.4
POLR2B,21.4
SMAP1;RP1-104A17.1-001,21.4
USP47,21.4
GINS1;KIAA0186;PSF1,21.4
ARL2,21.5
ITGA11;MSTP018,21.5
EAP1;C14orf4;KIAA1865;My039,21.5
HDAC7;HDAC7A;hCG_27711,21.5
CASC4;UNQ2573/PRO6308,21.5
SRPK1;RP3-422H11.1-003,21.5
POLR3D;BN51;BN51T,21.5
SART1,21.6
CBX3,21.6
SMARCA5;SNF2H;WCRF135,21.6
CAMKK1;CAMKKA,21.6
IGF1R,21.6
PRPF38A,21.6
TSEN34;LENG5;SEN34,21.6
WBSCR16,21.6
CHMP1B;C18orf2,21.6
ASCC3;HELIC1,21.7
COMMD9;HSPC166,21.7
WDR23;GL014;PRO2389,21.7
STOM;BND7;EPB72,21.7
WDR82;WDR82A;UNQ9342/PRO34047,21.7
